Ausfuhren von Kriegsmaterial nach Kategorie pro Endempfängerstaat (01.01. - 31.12.2013);;;;;;;;;;;;;;
Exportations de matériel de guerre par catégorie et pays de destination (01.01. - 31.12.2013);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Kontinent;Land;;Total;KM 1;KM 2;KM 3;KM 4;KM 5;KM 6;KM 7;KM 8;KM 10;KM 16;KM 9  / KM 11-15 /
Continent;Pays;;;;;;;;;;;;;KM 17 - 22
;;;;;;;;;;;;;;
Total;;;461'192'174;23'375'477;69'263'239;158'789'866;10'994'142;74'268'429;62'232'545;176'094;24'155'509;36'237'417;1'699'456;0
;;;;;;;;;;;;;;
Europa;Belgien;Belgique;2'463'324;392'724;21'845;1'337'611;;;485'134;;226'010;;;
Europe;Bosnien und Herzeg.;Bosnie et Herzég.;185'380;29'598;;28'388;;;;;127'394;;;
;Bulgarien;Bulgarie;1'002'515;;;;;;;;1'002'515;;;
;Dänemark;Danemark;8'594'787;2'100;1'416'056;3'437'410;;111'847;3'158'127;;469'247;;;
;Deutschland;Allemagne;123'504'305;4'262'077;9'103'227;67'606'371;151'177;12'901'737;23'218'815;8'368;6'001'644;203'371;47'518;
;Estland;Estonie;731'273;276'721;;454'552;;;;;;;;
;Finnland;Finlande;2'671'482;193'417;503'756;334'561;;;1'191'800;;16'578;242'119;189'251;
;Frankreich;France;27'547'526;1'201'033;4'513'864;12'452'048;82'298;196'333;9'646;;1'192'943;7'872'414;26'947;
;Griechenland;Grèce;437'506;6'330;70'839;25'200;;335'137;;;;;;
;Grossbritannien;Grande-Bretagne;38'082'037;433'385;16'443'529;5'198'857;6'781'483;2'154'895;;;6'571'358;498'530;;
;Irland;Irlande;3'894;;;3'894;;;;;;;;
;Italien;Italie;58'854'704;617'775;22'526'587;12'069'890;;23'167'157;;;454'185;;19'110;
;Kosovo;Kosovo;72'917;;;72'917;;;;;;;;
;Kroatien;Croatie;16'103;16'103;;;;;;;;;;
;Lettland;Lettonie;2'247;2'247;;;;;;;;;;
;Litauen;Lituanie;7'952;7'652;;;;;;;300;;;
;Luxemburg;Luxembourg;120'507;2'422;;118'085;;;;;;;;
;Malta;Malte;7'611;7'611;;;;;;;;;;
;Niederlande;Pays-Bas;6'880'679;108'462;1'901'456;1'503'755;;;2'816'160;;171;542'455;8'220;
;Norwegen;Norvège;9'235'644;103'179;681'768;6'542'328;112'595;;1'032'250;;763'524;;;
;Österreich;Autriche;4'000'096;429'026;90'172;382'037;;3'035'079;62'020;;1'762;;;
;Polen;Pologne;83'546;32'613;;12'045;;;;;38'888;;;
;Portugal;Portugal;67'560;;;67'560;;;;;;;;
;Rumänien;Roumanie;221'048;;40'975;180'073;;;;;;;;
;Russland;Russie;612'798;180'073;;432'725;;;;;;;;
;Schweden;Suède;17'401'154;155'482;1'460'480;8'822'250;450'661;2'091'989;1'725'915;;1'691'556;824'960;177'861;
;Serbien;Serbie;70'257;;;;;;;;;70'257;;
;Slowakei;Slovaquie;19'947;11'889;;8'058;;;;;;;;
;Slowenien;Slovénie;19'031;19'031;;;;;;;;;;
;Spanien;Espagne;19'252'214;59'604;1'218'672;1'256'485;;302'315;15'735'647;;56'480;623'011;;
