  Ausfuhren von Kriegsmaterial nach Kategorie pro Endempfängerstaat (01.01. - 31.12.2006);;;;;;;;;;;;;;;
  Exportations de matériel de guerre par catégorie et pays de destination (01.01. - 31.12.2006);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Kontinent;Land;Total;KM 1;KM 2;KM 3;KM 4;KM 5;KM 6;KM 7;KM 8;KM 10;KM 16;;KM 9 / KM 11 - 15 /;
Continent;Pays;;;;;;;;;;;;;KM 17 - 22;
;;;;;;;;;;;;;;;
Total;;397'611'423;18'435'007;45'483'498;75'693'397;2'937'180;23'059'726;162'597'462;185'976;13'408'026;55'061'907;749'244;;;
;Korea (Süd) / Corée du Sud;22'660;22'660;;;;;;;;;;;;
;Kuwait / Koweït;2'079'891;252'995;;1'826'896;;;;;;;;;;
;Macau / Macau;91'498;91'498;;;;;;;;;;;;
;Malaysia / Malaisie;5'444'294;;1'323'265;2'932'669;;675'760;;;512'600;;;;;
;Oman / Oman;241'053;6'204;115'932;;;118'917;;;;;;;;
;Saudi Arabien / Arab. Saoudite;1'733'221;280'769;136'618;;;1'315'834;;;;;;;;
;Singapur / Singapour;4'168'284;475'260;2'766'926;546'329;;145'442;;;210'400;;23'927;;;
;;19'851'564;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Australien ;Australien / Australie;1'536'311;9'083;;1'525'667;;;;;;1'561;;;;
;Neuseeland / Nouvelle Zélande;54'346;54'296;;50;;;;;;;;;;
;;1'590'657;;;;;;;;;;;;;
